openml, dataset_40_sonar.arff, f1=0.9585574404564514, f1_std=0.0432931610902969, f2=1.0453391893464135e-06, f2_std=0.0, f3=0.9471153846153846, f3_std=0.0, f4=0.0, f4_std=0.0, l1=0.04796688161277918, l1_std=0.0, l2=0.06730769230769229, l2_std=0.0, l3=0.15865384615384615, l3_std=0.0, n1=0.28846153846153844, n1_std=0.0, n2=0.4132694797514191, n2_std=0.07767562341794987, n3=0.14903846153846154, n3_std=0.35612637998428315, n4=0.21634615384615385, n4_std=0.4117529545275057, t1=0.7403846153846154, t1_std=0.0, t2=0.28846153846153844, t2_std=0.0
openml, analcatdata_vineyard.arff, f1=0.9986321168106631, f1_std=0.0015747863046555726, f2=0.9607843137254902, f2_std=0.0, f3=0.9615384615384616, f3_std=0.0, f4=0.8547008547008547, f4_std=0.0, l1=0.3074697071138477, l1_std=0.0, l2=0.4444444444444444, l2_std=0.0, l3=0.4444444444444444, l3_std=0.0, n1=0.22863247863247863, n1_std=0.0, n2=0.24592808342302877, n2_std=0.21671444256300806, n3=0.16025641025641027, n3_std=0.36684369045703835, n4=0.3952991452991453, n4_std=0.48891485048514377, t1=0.2670940170940171, t1_std=0.0, t2=0.00641025641025641, t2_std=0.0
openml, fri_c3_1000_50.arff, f1=0.9950046627315733, f1_std=0.01622656094361561, f2=0.3729030877150647, f2_std=0.0, f3=0.956, f3_std=0.0, f4=0.726, f4_std=0.0, l1=0.1663622780825984, l1_std=0.0, l2=0.281, l2_std=0.0, l3=0.276, l3_std=0.0, n1=0.579, n1_std=0.0, n2=0.4956888897826202, n2_std=0.01804712187301307, n3=0.404, n3_std=0.49069746280167376, n4=0.269, n4_std=0.44343996211437686, t1=1.0, t1_std=0.0, t2=0.05, t2_std=0.0
openml, fri_c4_1000_50.arff, f1=0.9956255472588499, f1_std=0.01447141177616266, f2=0.376520161862302, f2_std=0.0, f3=0.979, f3_std=0.0, f4=0.76, f4_std=0.0, l1=0.16038667499492976, l1_std=0.0, l2=0.30900000000000005, l2_std=0.0, l3=0.33299999999999996, l3_std=0.0, n1=0.576, n1_std=0.0, n2=0.49686358694026217, n2_std=0.017814923386847925, n3=0.422, n3_std=0.4938785275753544, n4=0.256, n4_std=0.43642181430354743, t1=1.0, t1_std=0.0, t2=0.05, t2_std=0.0
openml, wine.arff, f1=0.8561638880979632, f1_std=0.17851331361437084, f2=0.0013702390603282952, f2_std=0.0, f3=0.42134831460674155, f3_std=0.0, f4=0.0, f4_std=0.0, l1=0.0036249447173768434, l1_std=0.0, l2=0.005617977528089901, l2_std=0.0, l3=0.011235955056179803, l3_std=0.0, n1=0.0898876404494382, n1_std=0.0, n2=0.35793556519002656, n2_std=0.07073531219614426, n3=0.03932584269662921, n3_std=0.19436903249445162, n4=0.25280898876404495, n4_std=0.4346223693784593, t1=0.3258426966292135, t1_std=0.0, t2=0.07303370786516854, t2_std=0.0
openml, fri_c0_250_10.arff, f1=0.950737775681412, f1_std=0.07621353731486472, f2=0.8465693216849675, f2_std=0.0, f3=0.96, f3_std=0.0, f4=0.824, f4_std=0.0, l1=0.11462174956337778, l1_std=0.0, l2=0.17600000000000005, l2_std=0.0, l3=0.14, l3_std=0.0, n1=0.46, n1_std=0.0, n2=0.4683240049860658, n2_std=0.059662025461451065, n3=0.316, n3_std=0.4649128950674523, n4=0.268, n4_std=0.4429175995600085, t1=0.936, t1_std=0.0, t2=0.04, t2_std=0.0
openml, teachingAssistant.arff, f1=0.9457888185879119, f1_std=0.039118352794646385, f2=0.48107489945138204, f2_std=0.04214926589247394, f3=0.7415506256508003, f3_std=0.016521014757478938, f4=0.6158253080209981, f4_std=0.017636090770191525, l1=0.20307343836405786, l1_std=0.04851411628318475, l2=0.32130075752673304, l2_std=0.04516710759671843, l3=0.3041019788253335, l3_std=0.05536505177049867, n1=0.6291390728476821, n1_std=0.0, n2=0.45764890938980124, n2_std=0.18313692035401147, n3=0.39072847682119205, n3_std=0.4879136544740096, n4=0.6556291390728477, n4_std=0.4751626785338304, t1=0.6887417218543046, t1_std=0.0, t2=0.039735099337748346, t2_std=0.0
openml, fri_c4_500_50.arff, f1=0.9954843659603239, f1_std=0.01596268602842218, f2=0.30874479174726727, f2_std=0.0, f3=0.944, f3_std=0.0, f4=0.382, f4_std=0.0, l1=0.17427195823629704, l1_std=0.0, l2=0.278, l2_std=0.0, l3=0.29600000000000004, l3_std=0.0, n1=0.592, n1_std=0.0, n2=0.49687176484603196, n2_std=0.016437250047369623, n3=0.436, n3_std=0.4958870839213299, n4=0.244, n4_std=0.4294927240361588, t1=1.0, t1_std=0.0, t2=0.1, t2_std=0.0
openml, fri_c1_250_5.arff, f1=0.9500854635422675, f1_std=0.03130115910154568, f2=0.8078528582195535, f2_std=0.0, f3=0.94, f3_std=0.0, f4=0.852, f4_std=0.0, l1=0.16696600018130714, l1_std=0.0, l2=0.30400000000000005, l2_std=0.0, l3=0.252, l3_std=0.0, n1=0.256, n1_std=0.0, n2=0.37194715452340166, n2_std=0.10808506571822968, n3=0.156, n3_std=0.3628553430776512, n4=0.268, n4_std=0.4429175995600085, t1=0.48, t1_std=0.0, t2=0.02, t2_std=0.0
openml, kdd_synthetic_control.arff, f1=0.9094051778844792, f1_std=0.16591653807801776, f2=1.3408872943980372e-14, f2_std=0.0, f3=0.13, f3_std=0.0, f4=0.0, f4_std=0.0, l1=0.0, l1_std=0.0, l2=0.0, l2_std=0.0, l3=0.0, l3_std=0.0, n1=0.0033333333333333335, n1_std=0.0, n2=0.2902681474042234, n2_std=0.04355818010346204, n3=0.0, n3_std=0.0, n4=0.23333333333333334, n4_std=0.42295258468165065, t1=0.03333333333333333, t1_std=0.0, t2=0.10166666666666667, t2_std=0.0
